Fp1	-92	-72
AF7	-92	-54
AF3	-74	-65
F1	-50	-68
F3	-60	-51
F5	-75	-41
F7	-92	-36
FT7	-92	-18
FC5	-72	-21
FC3	-50	-28
FC1	-32	-45
C1	-23	0
C3	-46	0
C5	-69	0
T7	-92	0
TP7	-92	18
CP5	-72	21
CP3	-50	28
CP1	-32	45
P1	-50	68
P3	-60	51
P5	-75	41
P7	-92	36
P9	-115	40
PO7	-92	54
PO3	-74	65
O1	-92	72
Iz	115	-90
Oz	92	-90
POz	69	-90
Pz	46	-90
CPz	23	-90
Fpz	92	90
Fp2	92	72
AF8	92	54
AF4	74	65
Afz	69	90
Fz	46	90
F2	50	68
F4	60	51
F6	75	41
F8	92	36
FT8	92	18
FC6	72	21
FC4	50	28
FC2	32	45
FCz	23	90
Cz	0	0
C2	23	0
C4	46	0
C6	69	0
T8	92	0
TP8	92	-18
CP6	72	-21
CP4	50	-28
CP2	32	-45
P2	50	-68
P4	60	-51
P6	75	-41
P8	92	-36
P10	115	-40
PO8	92	-54
PO4	74	-65
O2	92	-72
CB1	-129	45
CB2	129	-45
TP9	-120	20
TP10	120	-20
FT9	-120	-20
FT10	120	20
F9	-120	-40
F10	120	40
LO1	-116	-53
LO2	116	53
IO1	-127	-65
IO2	127	65
